t,x,y,z,speed
3.58,215.084,18.184,96.6435,60.6944
3.59,215.682,18.232,96.7345,60.6796
3.6,216.28,18.28,96.8246,60.665
3.61,216.878,18.328,96.9137,60.6505
3.62,217.476,18.376,97.0019,60.6362
3.63,218.074,18.424,97.089,60.622
3.64,218.672,18.472,97.1752,60.608
3.65,219.27,18.52,97.2604,60.5941
3.66,219.868,18.568,97.3446,60.5804
3.67,220.466,18.616,97.4278,60.5668
3.68,221.064,18.664,97.51,60.5534
3.69,221.662,18.712,97.5913,60.5402
3.7,222.26,18.76,97.6716,60.5271
3.71,222.858,18.808,97.7509,60.5142
3.72,223.456,18.856,97.8292,60.5014
3.73,224.054,18.904,97.9065,60.4888
3.74,224.652,18.952,97.9829,60.4763
3.75,225.25,19,98.0582,60.464
3.76,225.848,19.048,98.1326,60.4518
3.77,226.446,19.096,98.2061,60.4398
3.78,227.044,19.144,98.2785,60.428
3.79,227.642,19.192,98.3499,60.4163
3.8,228.24,19.24,98.4204,60.4048
3.81,228.838,19.288,98.4899,60.3934
3.82,229.436,19.336,98.5584,60.3822
3.83,230.034,19.384,98.6259,60.3712
3.84,230.632,19.432,98.6925,60.3603
3.85,231.23,19.48,98.758,60.3495
3.86,231.828,19.528,98.8226,60.339
3.87,232.426,19.576,98.8862,60.3285
3.88,233.024,19.624,98.9489,60.3183
3.89,233.622,19.672,99.0105,60.3082
3.9,234.22,19.72,99.0712,60.2982
3.91,234.818,19.768,99.1308,60.2884
3.92,235.416,19.816,99.1895,60.2788
3.93,236.014,19.864,99.2472,60.2693
3.94,236.612,19.912,99.304,60.26
3.95,237.21,19.96,99.3597,60.2509
3.96,237.808,20.008,99.4145,60.2419
3.97,238.406,20.056,99.4683,60.233
3.98,239.004,20.104,99.5211,60.2243
3.99,239.602,20.152,99.5729,60.2158
4,240.2,20.2,99.6238,60.2075
4.01,240.798,20.248,99.6737,60.1992
4.02,241.396,20.296,99.7226,60.1912
4.03,241.994,20.344,99.7705,60.1833
4.04,242.592,20.392,99.8174,60.1756
4.05,243.19,20.44,99.8633,60.168
4.06,243.788,20.488,99.9083,60.1606
4.07,244.386,20.536,99.9523,60.1533
4.08,244.984,20.584,99.9953,60.1463
4.09,245.582,20.632,100.037,60.1393
4.1,246.18,20.68,100.078,60.1325
4.11,246.778,20.728,100.118,60.1259
4.12,247.376,20.776,100.157,60.1195
4.13,247.974,20.824,100.196,60.1132
4.14,248.572,20.872,100.233,60.107
4.15,249.17,20.92,100.269,60.1011
4.16,249.768,20.968,100.304,60.0952
4.17,250.366,21.016,100.338,60.0896
4.18,250.964,21.064,100.371,60.0841
4.19,251.562,21.112,100.404,60.0787
4.2,252.16,21.16,100.435,60.0736
4.21,252.758,21.208,100.465,60.0685
4.22,253.356,21.256,100.494,60.0637
4.23,253.954,21.304,100.523,60.059
4.24,254.552,21.352,100.55,60.0544
4.25,255.15,21.4,100.576,60.0501
4.26,255.748,21.448,100.602,60.0458
4.27,256.346,21.496,100.626,60.0418
4.28,256.944,21.544,100.649,60.0379
4.29,257.542,21.592,100.672,60.0341
4.3,258.14,21.64,100.693,60.0306
4.31,258.738,21.688,100.714,60.0271
4.32,259.336,21.736,100.733,60.0239
4.33,259.934,21.784,100.752,60.0208
4.34,260.532,21.832,100.769,60.0178
4.35,261.13,21.88,100.786,60.0151
4.36,261.728,21.928,100.801,60.0124
4.37,262.326,21.976,100.816,60.01
4.38,262.924,22.024,100.829,60.0077
4.39,263.522,22.072,100.842,60.0055
4.4,264.12,22.12,100.853,60.0036
4.41,264.718,22.168,100.864,60.0017
4.42,265.316,22.216,100.874,60.0001
4.43,265.914,22.264,100.882,59.9986
4.44,266.512,22.312,100.89,59.9973
4.45,267.11,22.36,100.897,59.9961
